Source,Target
31076,241219
31076,5418457
31076,13129249
31076,13782387
31076,241218
31076,14446178
31076,5443674
31076,4537876
31077,4129541
31077,4113999
31077,4130681
31077,13773171
31077,13446365
31077,4387954
31077,4109134
31077,4101373
31078,4389381
31078,13596275
31078,13522500
31078,958392
31078,176663
31078,4458866
31078,4123374
31078,4835793
31078,4262654
31078,4384229
31078,72577
31078,894578
31078,974357
31078,5676040
31078,4110987
31078,13406742
31078,14023626
31078,4381269
31078,990626
31078,52849
31078,1091185
31078,593374
31078,4450028
31078,974351
31078,13651579
31078,4208101
31078,4207046
31078,1178912
31079,4394274
31079,141620
31079,5098956
31079,137743
31079,145797
31079,4271832
31079,141309
31079,4270300
31079,4148875
31079,4403776
31079,924515
31079,4144474
31079,4264869
31079,3682
31079,4148145
31079,4539652
31079,145728
31079,4275320
31079,4614659
31079,4271036
31079,4153630
31079,5358344
31079,4398303
31079,4404956
31079,14907713
31079,4268492
31079,4256925
31079,5125105
31079,4190636
31079,4396199
31085,5630747
31085,13526923
31085,4453809
31085,4146729
31085,4384520
31085,4179285
31085,6046676
31085,4151115
31086,4910836
31086,5544690
31086,14304369
31086,13730424
31086,13957747
31086,5481518
31086,5230290
31086,4850527
31086,14235962
31086,4923990
31087,1130517
31087,5638293
31087,1273751
31087,5848304
31087,5929263
31087,4685087
31087,14058266
31087,5426993
31087,1239968
31087,686358
31087,14271874
31087,1123139
31087,5570331
31087,882833
31087,332582
31087,962066
31087,318583
31087,13650
31087,830238
31087,5459498
31087,4916578
31087,4815082
31087,16992627
31095,14037719
31095,14114163
31095,14132779
31095,16073
31095,18011
31095,2386
31095,325
31095,4125612
31095,4133097
31095,4149469
31095,4156194
31095,4390874
31095,4401920
31095,5592799
31095,6033334
31098,10314405
31098,22795
31098,4398265
31098,4404699
31098,504
31135,17817
31135,4147155
31135,4153968
31135,4395334
31135,4396328
31135,72950
31135,8756
31140,12159
31140,22817
31140,15720
31140,21793
31140,237963
31140,73346
31140,4209663
31141,1092275
31141,1183034
31141,13618213
31141,14023920
31141,14227439
31141,236637
31141,4405530
31141,4441132
31141,4877784
31141,4947830
31141,4956917
31141,5443674
31141,5476681
31141,5544047
31142,13410963
31142,4317094
31142,4714663
31142,4751776
31142,5032454
31142,911354
31145,5242120
31145,5821103
31145,4732225
31145,4155788
31145,5237501
31145,10281
31145,4399578
31145,4995906
31145,14907713
31146,4365406
31146,319202
31146,791071
31146,334043
31146,4113124
31146,4125585
31146,4987616
31146,14329452
31146,5963505
31146,4203394
31146,53292
31146,4552999
31146,202030
31146,932684
31146,409339
31147,402116
31147,19741
31147,2313
31147,4261111
31147,4865207
31147,410660
31147,4452361
31147,794876
31147,4598295
31147,4177737
31147,4402900
31147,241667
31147,3178
31147,5329743
31147,4442600
31147,4267054
31147,241748
31147,4268887
31147,124263
31147,23735
31147,17116
31147,13871109
31147,140652
31147,4333317
31147,359
31147,16011
31147,14907713
31147,13758
31147,132964
31147,3650
31147,1147995
31147,4220810
31147,49352
31148,13794420
31148,1245461
31148,411778
31148,6069166
31148,4853060
31148,5773046
31148,6069167
31148,13363415
31148,14229675
31148,4211838
31149,238316
31149,11946156
31149,4199856
31149,6052429
31149,13366999
31149,14240540
31149,12999753
31149,1167548
31149,4248622
31149,4158310
31149,14253444
31149,6066310
31149,14085386
31149,13563482
31149,12325375
31149,4345428
31149,861230
31149,13303984
31149,13416219
31149,12999785
31149,4961054
31149,14363106
31149,5881290
31149,24424769
31149,20285039
31149,13271295
31149,14907713
31149,14915962
31149,4330582
31150,326049
31150,4474994
31150,579583
31150,619645
31151,13454599
31151,835642
31151,13452328
31151,18869739
31151,21032373
31151,13593816
31151,806296
31151,13710814
31151,13147465
31152,5910952
31152,19799
31152,5019314
31152,1130985
31152,4429442
31152,6039624
31153,1036889
31153,14944109
31153,6820
31153,4040
31153,881773
31153,9922
31153,1120248
31153,4154547
31153,4610970
31153,1093992
31153,238157
31153,4399516
31153,1248387
31153,4385658
31153,1277456
31153,2454
31154,13240
31154,4150603
31154,18311
31154,9922
31154,10116
31154,5696001
31154,4801656
31154,14455389
31154,14343479
31154,20868
31154,28110
31154,4403073
31154,14112304
31154,991541
31154,5755876
31154,5030540
31217,1274371
31217,4274486
31217,195035
31217,1276000
31218,17361
31218,5332344
31218,974391
31218,974330
31218,76797
31219,15714761
31219,995128
31219,4146398
31219,175391
31220,4655272
31220,638366
31220,23194
31220,205297
31220,1250406
31221,3644
31221,4144243
31221,837019
31221,580408
31221,667456
31221,4155986
31222,5569152
31222,638332
31222,626903
31223,14212241
31224,205288
31225,13958
31225,5410893
31225,4156060
31225,25391
31226,19025
31226,5427481
31226,4156289
31228,9466
31237,14020141
31237,1109802
31237,167472
31237,73230
31237,241778
31237,16590949
31237,4383599
31237,5011067
31237,4332027
31237,25715
31237,13741297
31237,241777
31237,17918
31237,14287192
31238,4150750
31238,4144272
31238,4109925
31238,4150885
31238,4611943
31238,4395914
31238,9224490
31238,14345242
31239,14374964
31239,18151654
